t[s],Z,vz,vzd
0.675,0.5573161759636396,-0.590257050454444,-11.218130663318819
0.68,0.5540844374468069,-0.6463477033665358,-11.285014410188776
0.685,0.5505705735719152,-0.702772774978351,-11.34192940326883
0.69,0.5467731614643033,-0.7594824215223763,-11.384361398944845
0.695,0.5426911403242263,-0.8164042280154078,-11.406869318773463
0.7,0.538323947453801,-0.8734385740850609,-11.40301104907014
0.705,0.5336716793098295,-0.9304536287942998,-11.365283843195368
0.71,0.5287352790724421,-0.9872800474774717,-11.285102724258728
0.715,0.5235167512694925,-1.0437055605899255,-11.15287405962394
0.72,0.5180194016173415,-1.0994699304302038,-10.95830233827057
0.725,0.5122480944085962,-1.154261441749056,-10.691254461364103
0.73,0.50620950583954,-1.2077177138112325,-10.343918716905906
0.735,0.4999123193028888,-1.2594373073302456,-9.915871909948327
0.74,0.49336723596762194,-1.3090166670533776,-9.425429725207232
0.745,0.4865865168868341,-1.356143816157577,-8.933936104786191
0.75,0.47958244939919054,-1.400813497528712,-8.595055222523921
0.755,0.4723635055246867,-1.4437887749007634,-8.748155110947293
0.76,0.4649258577641587,-1.4875295521056067,-10.07879692343182
0.765,0.45723624007121166,-1.537923538589398,-13.853836440695217
0.77,0.4492002764592524,-1.6071927223918443,-22.145545318514184
0.775,0.44061067421287425,-1.7179204492756366,-37.478816992791465
0.78,0.43108410155600096,-1.9053145313746602,-63.603461541820025
0.785,0.4199674423921134,-2.2233318327775047,17.05940327935428
0.79,0.4092772682929178,-2.1380348198391346,12.691917325462448
0.795,0.39890439211496653,-2.074575235590249,12.8383712502659
0.8,0.3888524752072799,-2.0103833815373284,13.227921510608098
0.805,0.3791312563268307,-1.9442437760898386,13.902073109017401
0.81,0.3697575892636579,-1.8747334126345547,14.644911142181698
0.815,0.36075004496850704,-1.801508859030173,15.40908704746289
0.82,0.35212772783892193,-1.7244634259170244,16.160308169152515
0.825,0.34390941840288325,-1.6436618872077369,16.85766922911158
0.83,0.3361125506868778,-1.5593735432010947,17.505495601253507
0.835,0.32875332035030996,-1.4718460673135652,18.092778456884346
0.84,0.3218464094647709,-1.381382177107814,18.602045661069702
0.845,0.31540454971065324,-1.2883719508235334,19.050017702341542
0.85,0.30943894038941,-1.193121864248645,19.427640821040953
0.855,0.3039590220795289,-1.0959836619762207,19.69875146855184
0.86,0.2989715725477414,-0.9974899063574945,19.930473916086214
0.865,0.29448238485594375,-0.897837538359533,20.096353616660778
0.87,0.29049560599742397,-0.7973557717039566,20.193565869657135
0.875,0.2870136662793328,-0.69638794361824,20.219443469102018
0.88,0.28403721264251286,-0.5952907273639824,20.182680837057227
0.885,0.28156532602204826,-0.4943773240929216,19.627253589012945
0.89,0.27958412073516803,-0.39624105737604076,19.474445575658514
0.895,0.2780897765827148,-0.29886883049064783,19.28087599123741
0.9,0.2770774543261522,-0.20246445131250998,19.052428549516108
0.905,0.2765414427804197,-0.10720230914650103,18.790540132306987
0.91,0.2764751947359812,-0.013249608887695954,18.498080701226726
0.915,0.27687139870787125,0.07924079437801598,15.242500185470064
0.92,0.27764866518388476,0.15545329520269935,13.07026738365349
0.925,0.2787526883444928,0.22080463212160395,11.142226503213802
0.93,0.28013526716808235,0.27651576471791484,9.434665352815522
0.935,0.2817537126261982,0.32368909162317466,7.925675827768476
0.94,0.2835702999809476,0.3633174709498917,6.594670063675959
0.945,0.2855517540884085,0.39629082149216793,5.4226012587899035
0.95,0.28766877322859946,0.42340382803819,4.392034071748441
0.955,0.289895593221957,0.44536399867151627,3.487123225374429
0.96,0.2922095912974143,0.46279961509146356,2.6935464312282136
0.965,0.2945909280351961,0.476267347556358,1.998416566413912
0.97,0.29702222518875065,0.48625943071090727,1.3901853058758569
0.975,0.29948827697662633,0.4932103575751309,0.8585438893190016
0.98,0.3019757923634661,0.4975030773679592,0.3943237688145018
0.985,0.3044731658463107,0.4994746965689124,-0.010570842470999153
0.99,0.306970275059928,0.4994218427234737,-0.36376676297575905
0.995,0.30945829010635245,0.4976030092848882,-0.6727971128765748
1.0,0.31192948522688063,0.4942390241056314,-0.9436293244988594
1.005,0.31437708961626265,0.48952087787640775,-1.1807987065162546
1.01,0.3167951740399853,0.4836168847445282,-1.3883787064517978
1.015,0.3191785489980835,0.4766749916196388,-1.5699774952473362
1.02,0.32152267452086664,0.46882510455662196,-1.7287906633807708
1.025,0.32382358027915625,0.4601811516579179,-1.867651623139981
1.03,0.32607779474897863,0.4508428939644789,-1.989078155633866
1.035,0.328282282267037,0.4408975036116711,-2.0953151214925843
1.04,0.33043438690919535,0.4304209284316762,-2.18837343182624
1.045,0.33253178221770086,0.41947906170109955,-2.270065461798077
1.05,0.3345724258918044,0.40812873482071416,-2.3420371585038033
1.055,0.3365545186390834,0.3964185494558061,-2.405797140497282
1.06,0.33847646645997786,0.3843895641788928,-2.4627459093136137
1.065,0.34033684563525196,0.37207583505482406,-2.514353137895278
1.07,0.3421343659841707,0.3595040697837397,-2.5582511726691832
1.075,0.3438679300558431,0.3467128143344813,-2.595870454607721
1.08,0.34553659736819137,0.33373346246965196,-2.623969161686791
1.085,0.3471396654535059,0.3206136170629039,-2.643993522899134
1.09,0.34867663370272023,0.3073936498428727,-2.656971249339179
1.095,0.3501471776726339,0.2941087939827379,-2.6638112560035543
1.1,0.35155112636303754,0.2807897380807266,-2.665329165062917
1.105,0.3528884418261588,0.2674630926242502,-2.6622586608265744
1.11,0.3541592008245549,0.25415179967921747,-2.6552610176824327
1.115,0.35536357829925314,0.24087549493964644,-2.6449333243553284
1.12,0.3565018324425331,0.22765082865598427,-2.63181561060149
1.125,0.35757429119718287,0.21449175092995373,-2.616397047253593
1.13,0.35858134002722875,0.20140976600917398,-2.5991213614380904
1.135,0.3595234108247572,0.18841415950569387,-2.5803915842238307
1.14,0.3604009718341386,0.17551220187628178,-2.5605742276203705
1.145,0.3612145184892272,0.16270933101772284,-2.5400029711367793
1.15,0.3619645650713738,0.15000931642932258,-2.5189819244705802
1.155,0.36265163710668363,0.13741440706196437,-2.497788521830912
1.16,0.36327626443016137,0.1249254646955515,-2.4766760945291604
1.165,0.36383897485242883,0.11254208445349523,-2.4558761613881006
1.17,0.36434028837175464,0.10026270386515689,-2.435600470999178
1.175,0.36478071188033967,0.08808470171700362,-2.416042825599069
1.18,0.36516073431926155,0.0760044877843806,-2.397380713165439
1.185,0.3654808222412756,0.06401758440280467,-2.3797767720780434
1.19,0.36574141574485536,0.05211870071595188,-2.3633801112420696
1.195,0.3659429247464705,0.040301800323028714,-2.34832750790746
1.2,0.3660857255611557,0.02856016293704597,-2.334744505611455
1.205,0.3661701577639226,0.016886440553380226,-2.3227464360691656
1.21,0.366196521306467,0.005272708508882324,-2.312439392044402
1.215,0.3661650738648502,-0.006289488323368604,-2.3039211846197634
1.22,0.3660760283942219,-0.017809094125661167,-2.2972823302011474
1.225,0.3659295508659105,-0.029295505662270953,-2.292607134638044
1.23,0.3657257581597771,-0.040758541226680545,-2.2899749827381193
1.235,0.36546471607959524,-0.05220841603637319,-2.28946201884144
