t[s],q_urdf_hip,q_urdf_knee,qd_urdf_hip,qd_urdf_knee,qdd_urdf_hip,qdd_urdf_knee,Tau_urdf_hip,Tau_urdf_knee
0.385,0.6330589555875643,-1.5800597868202912,-3.304385326585805,3.435412338458481,-8.065408728512239,-9.962382192023597,-9.600000000000001,-0.14201485372546582
0.39,0.6163353937346729,-1.5631317846256396,-3.3447123705782817,3.385600438930326,-7.947880327175881,-12.785803127518193,-9.600000000000001,-0.1445713803979052
0.395,0.5994131348707945,-1.5465234274483404,-3.3844517727756944,3.321671435459828,-7.795893051704525,-16.099469300313785,-9.600000000000001,-0.1474423638407167
0.4,0.5822959786767219,-1.5303175569394867,-3.4234312388145147,3.2411741017707327,-7.605210335591892,-19.993627622779968,-9.600000000000001,-0.1506793234850834
0.405,0.5649886922192575,-1.5146115270544909,-3.4614572914928687,3.141205976999169,-7.3721541687816625,-24.61275334038737,-9.600000000000001,-0.15437424049545165
0.41,0.5474971019015078,-1.4995208159346456,-3.4983180635499345,3.018142223969075,-7.09697163173405,-30.01057522970632,-9.600000000000001,-0.15854792375310134
0.415,0.5298280872859138,-1.4851803691261076,-3.5338029231188113,2.8680893617075998,-6.782091825745283,-36.36620774079029,-9.600000000000001,-0.16331926527427798
0.42,0.5119895203667859,-1.4717490774415873,-3.567713383825578,2.6862583369040753,-6.4371208492789265,-43.83324735058295,-9.600000000000001,-0.168790705475259
0.425,0.49399002541791964,-1.459413616872352,-3.599898989773252,2.4670921138470696,-6.081683825806408,-52.587711126642716,-9.600000000000001,-0.17508923523673028
0.43,0.4758384883646021,-1.4483928490150086,-3.6303074106635176,2.204153571468659,-5.751574002431994,-62.773367063289015,-9.600000000000001,-0.18232993501964498
0.435,0.4575431619525404,-1.4389414152711626,-3.6590652824123353,1.8902867487692074,-5.504839458205424,-74.55209915774185,-9.600000000000001,-0.1906624987175036
0.44,0.43911021454601423,-1.4313537839472636,-3.686589481305234,1.5175262647797902,-5.432690380310305,-88.03913271747206,-9.600000000000001,-0.20023168571588446
0.445,0.4205414498733435,-1.4259671308870288,-3.713752934534143,1.0773306120469741,-5.67230858224832,-103.26942028849612,-9.600000000000001,-0.21116361531471367
0.45,0.40183087748172297,-1.423162213284659,-3.742114478324107,0.5609835204739219,-6.422070353487015,-120.17415938514978,-9.600000000000001,-0.2235603806714935
0.455,0.38295975333019316,-1.4233616496222021,-3.7742248303059553,-0.03988726750862015,-7.963610327646734,-138.23854428259642,-9.600000000000001,-0.2372471636880446
0.46,0.36388953892404197,-1.4270170495247398,-3.8140428812302414,-0.7310799805075473,-10.656415497573448,-157.30659008772022,-9.600000000000001,-0.252384201474393
0.465,0.3445529141403802,-1.4346051141390403,-3.8673249567323498,-1.5176129228601072,-14.985260387066319,-176.6231704095719,-9.600000000000001,-0.26873741994865197
0.47,0.3248416578655122,-1.4466087579731868,-3.942251254973599,-2.400728766829286,-21.55069712583804,-195.50849118128235,-9.600000000000001,-0.2861569652328342
0.475,0.30459163419236573,-1.4635001140455917,-4.050004734629298,-3.378271214480984,-31.094349119245294,-213.44860825018975,-9.600000000000001,-0.30461430422076247
